Source,Target,Source.VCB,Target.VCB,Diff.in.VCB,Corpus.Size,Language.Relatedness,Sentence.Alignment.Score,11Mapping.Proportion,Translation.Entropy,Tagger,,,,,,,,,,,,,
el,it,34992,19310,-15682,835498,0.178,0.028797639,0.528749774,457.233903,47.33,,,,,,,,,,,,,
el,es,34992,18496,-16496,858128,0.167,0.036633482,0.584555319,555.1971839,62.29,,,,,,,,,,,,,
el,de,34992,29860,-5132,891208,0.188,0.030368896,0.479064167,459.0459496,55.16,,,,,,,,,,,,,
it,en,19310,14810,-4500,1122016,0.247,0.089742108,0.730308195,211.1331521,74.5,,,,,,,,,,,,,
it,da,19310,29867,10557,1141013,0.263,0.079591068,0.631940468,219.2443257,71.6,,,,,,,,,,,,,
it,nl,19310,21316,2006,1138199,0.26,0.092523317,0.701128671,241.1498376,68.19,,,,,,,,,,,,,
it,pt,19310,19333,23,1125548,0.773,0.044514761,0.824550572,159.5616169,84.5,,,,,,,,,,,,,
it,sv,19310,29403,10093,1061789,0.259,0.061485376,0.60732839,233.8381756,67.92,,,,,,,,,,,,,
it,el,19310,34992,15682,835498,0.178,0.025100266,0.443898606,339.8930824,59.2,,,,,,,,,,,,,
it,es,19310,18496,-814,1127527,0.788,0.101429676,0.818825755,200.7556537,81.8,,,,,,,,,,,,,
it,de,19310,29860,10550,1131569,0.265,0.066001026,0.620950347,206.2404119,68.28,,,,,,,,,,,,,
es,en,18496,14810,-3686,1117322,0.24,0.088629553,0.71076782,175.672559,68.76,,,,,,,,,,,,,
es,da,18496,29867,11371,1135388,0.25,0.064295097,0.593527056,206.3436061,68.83,,,,,,,,,,,,,
es,nl,18496,21316,2820,1131744,0.258,0.090568556,0.673654381,210.6371884,66.34,,,,,,,,,,,,,
es,pt,18496,19333,837,1126684,0.874,0.046413378,0.794354684,123.8689972,80.72,,,,,,,,,,,,,
es,sv,18496,29403,10907,1047538,0.253,0.060573042,0.573362786,224.5543241,68.83,,,,,,,,,,,,,
